Restrição de Atendimento,Escola,Categoria Administrativa,Endereço,Telefone,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Latitude,Longitude,Bairro
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PENITENCIARIA II DE SAO VICENTE,Pública Estadual,"PADRE MANOEL DA NOBREGA, SN KM 282. PARQUE CONTINENTAL. 11348-910 São Vicente - SP.",(13) 34061221,Entre 51 e 200 matrículas de escolarização,Educação de Jovens Adultos,-23.9717925,-46.3692271,PARQUE CONTINENTAL
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA FORTEC,Privada,"BENEDITO CALIXTO, 160 170. CENTRO. 11320-070 São Vicente - SP.",(13) 35692525,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-23.9676152,-46.3759908,CENTRO
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,BERCARIO E EDUCACAO INFANTIL ROSA DE SAROM,Privada,"SANTA CRUZ, 78 RUA. CENTRO. 11310-290 São Vicente - SP.",(13) 34667838,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-23.96799261,-46.39032997,CENTRO
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CAMINHO DO SABER,Privada,"ALAMEDA DOIS, 817 PARQUE CONTINENTAL. 11348-300 São Vicente - SP.",(13) 35642136,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-23.95435693,-46.46098349,PARQUE CONTINENTAL
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO GENESIS SAO VICENTE,Privada,"JULIA DE ALMEIDA PIRES PROFESSORA, 530 RUA. JARDIM RIO BRANCO. 11347-090 São Vicente - SP.",(13) 33666688,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-23.97897339,-46.47873247,JARDIM RIO BRANCO
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CAMBARA ESCOLA,Privada,"RUA DO COLEGIO, 161 CENTRO. 11310-210 São Vicente - SP.",(13) 34669376,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-23.9641083,-46.3791773,CENTRO
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ALBINO LUIZ CALDAS PROFESSOR,Pública Estadual,"IRMA MARIA RITA DE SOUZA BRITO LOPES IRMA DULCE, SN RUA. HUMAITA. 11349-330 São Vicente - SP.",(13) 34061163,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",-23.9604032,-46.4699338,CONJUNTO RESIDENCIAL HUMAITA
ESCOLA PARALISADA,ERCILIA NOGUEIRA COBRA,Pública Estadual,"VALE DO PO, 400 VL MARGARIDA. 11330-670 São Vicente - SP.",(13) 34649952,,,-23.9698087,-46.4052299,VILA MARGARIDA
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PAULO DE ARRUDA PENTEADO PROFESSOR,Pública Estadual,"JOSE SINGER DOUTOR, SN AVENIDA. CONJUNTO RESIDENCIAL HUMAITA. 11349-000 São Vicente - SP.",(13) 34062214,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",-23.9497284,-46.460612,CONJUNTO RESIDENCIAL HUMAITA
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOSE DE ALMEIDA PINHEIRO JUNIOR PROFESSOR,Pública Estadual,"DOUTOR JOSE BENEDITO ALMEIDA RIBEIRO, SN RUA. PARQUE DAS BANDEIRAS. 11346-030 São Vicente - SP.",(13) 35662718,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",-23.9847933,-46.4901917,PARQUE DAS BANDEIRAS
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOAQUIM LOPES LEAO PASTOR,Pública Estadual,"ALEXANDRE SENDIM, 150 RUA. PARQUE BITARU. 11330-420 São Vicente - SP.",(13) 34697675,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",-23.9743525,-46.3986125,PARQUE BITARU
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,OSWALDO DOS SANTOS SOARES PROFESSOR DOUTOR,Pública Estadual,"NOVE DE JULHO, 465 AVENIDA. VILA CASCATINHA. 11370-020 São Vicente - SP.",(13) 35612151,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,-23.9568712,-46.3803114,VILA CASCATINHA
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ALBERTO AUGUSTO PASTOR,Pública Estadual,"DEZESSETE, SN RUA. CIDADE NAUTICA. 11350-540 São Vicente - SP.",(13) 34643337,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",-23.940446,-46.4177519,CIDADE NAUTICA
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MARIO COVAS JUNIOR GOVERNADOR,Pública Estadual,"DOUTOR ARCHIMEDES BAVA, SN RUA. PARQUE DAS BANDEIRAS. 11346-190 São Vicente - SP.",(13) 35768089,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",-23.9820495,-46.4947367,PARQUE DAS BANDEIRAS
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR,CEL JTO A EE MARTIM AFONSO,Pública Estadual,"JOSE BONIFACIO, 102 RUA. CENTRO. 11310-080 São Vicente - SP.",(13) 34681625,Escola sem matrícula de escolarização,,-23.969276,-46.38343,CENTRO
