Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA PARALISADA,ESCOLA INFANTIL RENASCER,35004088,SP,São Vicente,Urbana,Não Informado,Privada,"MONTE BELVEDERE, 984 VILA MARGARIDA. 11330-580 São Vicente - SP.",(13) 34635844,Privada,Não Informado,Não,,,,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE E EDUCACAO INFANTIL ABC,35004589,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"GENERAL MARIO HERMES DA FONSECA, 655 ESPLANADA DOS BARREIROS. 11340-180 São Vicente - SP.",,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-23.96044833,-46.40936667
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ANJO GABRIEL,35004590,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"VALTER DO AMARAL, 39 CATIAPOA. 11370-305 São Vicente - SP.",,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-23.96077084,-46.38895709
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,NUCLEO DE RECREACAO INFANTIL APRENDER BRINCANDO,35004815,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"MARECHAL HUMBERTO DE ALENCAR CASTELO BRANCO, 449 CIDADE NAUTICA. 11355-000 São Vicente - SP.",,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-23.94918706,-46.40940402
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE PROFESSORA REGINA CELIA DOS SANTOS,35004886,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"CAPITAO ANTAO DE MOURA, 429 PARQUE BITARU. 11330-100 São Vicente - SP.",,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.9677208,-46.3937494
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MUNICIPAL EDUARDO FURKINI,35004888,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"DOUTOR ARCHIMEDES BAVA, SN PARQUE DAS BANDEIRAS. 11346-190 São Vicente - SP.",,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-23.9821152,-46.4948187
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MUNICIPAL PAULO DE SOUZA,35004889,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"DEPUTADO ULISSES GUIMARAES, SN JARDIM RIO BRANCO. 11347-000 São Vicente - SP.",,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.9759727,-46.4771376
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA DE EDUCACAO INFANTIL SHALOM,35004942,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"PROFESSOR LOVELY PLAUCHUT, 452 VILA MATEO BEI. 11335-300 São Vicente - SP.",,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-23.96482667,-46.40895167
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CASA DA VOVO LIBANIA CRECHE COMUNITARIA,35005340,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"VINTE E DOIS DE JANEIRO, 630 FUNDOS. CENTRO. 11310-090 São Vicente - SP.",,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.9699138,-46.3857808
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PENIEL CRECHE COMUNITARIA,35005343,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"TENENTE DURVAL DO AMARAL, 725 CATIAPOA. 11390-300 São Vicente - SP.",,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.9568458,-46.3840025
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,LAR CINDERELA CRECHE COMUNITARIA,35005347,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"FRANCISCO SILVA SANTOS, 323 JARDIM GUASSU. 11370-530 São Vicente - SP.",,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.9514511,-46.3770646
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MUNDO DA CRIANCA,35005348,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"VEREADOR LOURIVAL MOREIRA DO AMARAL, 604 PARQUE SAO VICENTE. 11365-100 São Vicente - SP.",,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.9577278,-46.3943482
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO NASCIMENTO EDUCACAO,35005406,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"COSTA REGO, 50 VILA SAO JORGE. 11380-140 São Vicente - SP.",(13) 35615642,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.9546209,-46.3739948
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CANTINHO DO ZEZINHO CRECHE COMUNITARIA,35005443,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"SACADURA CABRAL, 399 VILA JOCKEI CLUBE. 11365-080 São Vicente - SP.",,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.94777155,-46.3921991
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO VISAO,35006080,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA TENENTE DURVAL DO AMARAL, 245 CATIAPOA. 11390-300 São Vicente - SP.",(13) 33954800,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,-23.96062202,-46.39045697
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE SANDRA ANTONELI,35006095,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"ELISANGELA SANTOS MENDES, SN SAMARITA. 11345-585 São Vicente - SP.",,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.98871445,-46.46972985
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA DE EDUCACAO INFANTIL SAPINHO SAPECA,35006124,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"CUIABA, 196 VILA NOSSA SENHORA DE FATIMA. 11355-250 São Vicente - SP.",,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-23.95497687,-46.40395354
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA FORTEC UNIDADE VI,35006249,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"FREI GASPAR, 2078 PARQUE SAO VICENTE. 11340-000 São Vicente - SP.",(13) 34661868,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO GENESIS MASTER SAO VICENTE,35006311,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"EDUARDO CACAO, 1448 JARDIM RIO BRANCO. 11347-150 São Vicente - SP.",(13) 35765513,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-23.98412012,-46.46890085
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ECTTA,35006332,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"SANTA CRUZ, 110 CENTRO. 11310-290 São Vicente - SP.",(13) 996884427,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO DO ROCIO,35006342,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"CAPITAOMOR AGUIAR, 898 CENTRO. 11310-200 São Vicente - SP.",(13) 34669491,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ABC,35006344,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"ENGENHEIRO ANDRE REBOUCAS, 10 VILA MATEO BEI. 11335-340 São Vicente - SP.",(13) 34683350,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOVEM EISNTEN,35006485,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"MARECHAL CANDIDO MARIANO DA SILVA RONDON, 21 VILA MARGARIDA. 11330-800 São Vicente - SP.",,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ABRACADABRA,35006573,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"MARECHAL DEODORO, 219 VILA VALENCA. 11390-100 São Vicente - SP.",(13) 34689141,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA DE EDUCACAO INFANTIL SAFARI,35006950,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"IBRAHIN ABDALLA SET EL BANAT, 472 JARDIM RIO BRANCO. 11347-010 São Vicente - SP.",,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MUNICIPAL JEAN PIERRE DOS SANTOS MOLINA,35007034,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"JOSE VIEGAS, SN PARQUE CONTINENTAL. 11348-390 São Vicente - SP.",,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.95706977,-46.45861852
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MUNICIPAL ENG SEITETSU IHA,35007069,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"BENJAMIM MATEUS MENDES, SN SAMARITA. 11345-580 São Vicente - SP.",,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.988225,-46.46831833
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE EDUCACIONAL NILTON RIBEIRO,35007415,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"JOSE JULIO DA SILVA, 382 JAPUI. 11325-080 São Vicente - SP.",,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-23.98737462,-46.39373984
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MUNICIPAL PROFESSOR CELSO EDUARDO DA SILVA,35007570,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"QUARENTA E CINCO, SN CONJUNTO RESIDENCIAL HUMAITA. 11349-210 São Vicente - SP.",,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.95236068,-46.45364509
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA INFANTIL GERANDO SONHOS,35008025,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"PERO VAZ DE CAMINHA, 303 VILA VALENCA. 11390-040 São Vicente - SP.",(13) 34673146,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MUNICIPAL NOSSA SENHORA DE FATIMA,35008082,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"STELIO MACHADO LOUREIRO, 66 VILA NOSSA SENHORA DE FATIMA. 11355-240 São Vicente - SP.",,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO EDUCACIONAL GIRASSOL KIDS LTDA,35008506,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"ALAMEDA DOIS, 774 PARQUE CONTINENTAL. 11348-300 São Vicente - SP.",,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MUNICIPAL CORA CORALINA,35008617,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"PAULO HORCEL, SN JAPUI. 11325-100 São Vicente - SP.",,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MUNICIPAL VILA MARGARIDA,35008693,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"RIO SERCHIO, SN VILA MARGARIDA. 11330-640 São Vicente - SP.",,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MUNICIPAL JULIO PEREIRA DE ANDRADE,35008739,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"DOUTOR ESMERALDO SOARES TARQUINIO DE CAMPOS FILHO, 113 PARQUE DAS BANDEIRAS. 11346-000 São Vicente - SP.",,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO DE PROGRESSAO PENITENCIARIA,35008980,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"PADRE MANOEL DA NOBREGA, KM283 SAMARITA. 11346-300 São Vicente - SP.",,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação de Jovens Adultos,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,SAINT MARY S BILINGUAL SCHOOL,35009055,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"ANTONIO EMMERICK, 877 VILA CASCATINHA. 11390-001 São Vicente - SP.",(13) 33563212,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,AMEI REI PELE,35009373,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"JEQUIE, 628 SAMARITA. 11345-010 São Vicente - SP.",,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,AMEI EMILIA,35009376,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"MANOEL SIERRA PEREZ, 256 CIDADE NAUTICA. 11350-650 São Vicente - SP.",,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,AMEI NARIZINHO,35009378,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"MANOEL SIERRA PEREZ, 296 CIDADE NAUTICA. 11350-650 São Vicente - SP.",(13) 34621000,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,AMEI VISCONDE DE SABUGOSA,35009379,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"MANOEL SIERRA PEREZ, 350 CIDADE NAUTICA. 11350-650 São Vicente - SP.",,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,INSTITUTO DE ENSINO GENESIS,35009442,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"CAPITAOMOR AGUIAR, 512 CENTRO. 11310-200 São Vicente - SP.",,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,INSTITUTO EDUCACIONAL MARQUES DE OLINDA,35009526,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"ANTONIO EMMERICK, 410 VILA CASCATINHA. 11390-001 São Vicente - SP.",(13) 33797547,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Profissional,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COHAB SAO VICENTE,35009552,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"ALEXANDRE FIGUEIREDO E CUNHA, 170 CIDADE NAUTICA. 11350-580 São Vicente - SP.",(13) 981633391,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PRIMARY EDUCACAO INFANTIL,35009806,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"MARTINS FONTES, 1730 ESPLANADA DOS BARREIROS. 11340-010 São Vicente - SP.",,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA CAMBALHOTA,35009954,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"MARECHAL MASCARENHAS DE MORAES, 390 VILA MARGARIDA. 11330-000 São Vicente - SP.",(13) 34640607,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EVOLUIR CONSTRUIR EDUCACAO INFANTIL,35009955,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"JACOB EMERICK, 1062 CENTRO. 11310-070 São Vicente - SP.",,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MUNICIPAL CATIAPOA,35009998,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"VICENTE GIL, 368 CATIAPOA. 11390-320 São Vicente - SP.",,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MUNICIPAL VILA NOVA SAO VICENTE,35010006,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"ALFIO BENASSI, 333 VILA NOVA SAO VICENTE. 11346-420 São Vicente - SP.",,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MUNICIPAL QUARENTENARIO,35010037,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"GOIAS, 740 JARDIM IRMA DOLORES. 11347-515 São Vicente - SP.",,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA DE EDUCACAO INFANTIL PREDILETO,35010203,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"MONTE PLANO, 513 VILA MARGARIDA. 11335-020 São Vicente - SP.",,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA UNIVERSO DO SABER,35010204,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"TIBIRICA, 370 CENTRO. 11320-020 São Vicente - SP.",,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MUNICIPAL PROFESSORA ANA CRISTINA SANTOS HENRIQUES,35010232,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"CAIAMORE, 804 VILA MARGARIDA. 11330-703 São Vicente - SP.",,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ANTONIO MOREIRA COELHO DEPUTADO,35012075,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"NOSSA SENHORA APARECIDA, SN PRACA. VILA FATIMA. 11355-340 São Vicente - SP.",(13) 34646511,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.9494377,-46.403842
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ENIO VILAS BOAS PROFESSOR,35012087,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"JOSE JOAQUIM DE AZEVEDO, 1166 RUA. CIDADE NAUTICA. 11355-040 São Vicente - SP.",(13) 34641983,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-23.94017,-46.4081876
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MARIA THEREZA DA CUNHA PEDROSO PROFESSORA,35012129,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"VITORIA DE SANTO ANTAO, SN RUA. CATIAPOA. 11370-480 São Vicente - SP.",(13) 34682163,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.9529603,-46.3858967
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOSE NIGRO PROFESSOR,35012130,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"DO PARQUE, SN TRAVESSA. CATIAPOA. 11365-330 São Vicente - SP.",(13) 34682499,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.9574484,-46.3931389
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ZULMIRA DE ALMEIDA LAMBERT PROFESSORA,35012142,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"CAMPOS, SN RUA. JARDIM INDEPENDENCIA. 11380-560 São Vicente - SP.",(13) 35612827,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-23.9629923,-46.3695292
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MARTIM AFONSO,35012212,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"JOSE BONIFACIO, 102 RUA. CENTRO. 11310-080 São Vicente - SP.",(13) 34681625,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-23.9692813,-46.383432
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,YOLANDA CONTE PROFESSORA,35012245,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"JOSE ADRIANO MARREY JUNIOR, 503 RUA. ESPLANADA DOS BARREIROS. 11340-310 São Vicente - SP.",(13) 34612557,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-23.9563832,-46.4128049
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MARGARIDA PINHO RODRIGUES,35012300,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"DOUTOR POLYDORO DE OLIVEIRA BITTENCOURT, 300 RUA. VILA MARGARIDA. 11330-570 São Vicente - SP.",(13) 34632335,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-23.9666223,-46.4012189
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ARMANDO VICTORIO BEI,35012324,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"CARIJOS, 1020 RUA. PARQUE SAO VICENTE. 11360-100 São Vicente - SP.",(13) 34649493,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.9497288,-46.3978776
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,LEOPOLDO JOSE DE SANT ANNA PROFESSOR,35012348,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"PROFESSOR JOSE GONCALVES PAIM, 60 RUA. PARQUE BITARU. 11310-340 São Vicente - SP.",(13) 34683316,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",Atendimento Educacional Especializado,-23.965866,-46.3938516
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ANTONIO LUIZ BARREIROS,35037576,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"PAULO HORCEL, 404 RUA. JAPUI. 11325-100 São Vicente - SP.",(13) 35671412,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",-23.9880118,-46.3929396
