Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,LOBATO COLEGIO,35430365,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"PERSIO DE QUEIROS FILHO, 614 AVENIDA. CATIAPOA. 11370-300 São Vicente - SP.",(13) 34692843,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-23.9579502,-46.3877068
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CARA PINTADA CENTRO DE RECREACAO INFANTIL,35434024,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"DUARTE DA COSTA DOM, 858 RUA. VILA JOCKEI CLUBE. 11360-280 São Vicente - SP.",(13) 34646203,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-23.94941,-46.39795
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRUZ AZUL DE SAO PAULO COLEGIO,35440826,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"RUI BARBOSA, 238 PRACA. PARQUE SAO VICENTE. 11360-040 São Vicente - SP.",(13) 34655520,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.9548238,-46.399564
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ALEGRIA DE VIVER ESCOLA,35442069,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"SIRIA, 255 RUA. PARQUE BITARU. 11330-140 São Vicente - SP.",(13) 34668498,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-23.96994,-46.39659
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNICO COLEGIO,35446786,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"FRANCISCO DIAS JORGE, 745 RUA. CIDADE NAUTICA. 11350-270 São Vicente - SP.",(13) 34638942,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-23.9413592,-46.4115221
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MUNDO VERDE COLEGIO,35452270,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"ANTONIO EMMERICH, 1373 VILA CASCATINHA. 11370-900 São Vicente - SP.",(13) 33711808,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-23.9597154,-46.3730844
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PENITENCIARIA DOUTOR GERALDO DE ANDRADE VIEIRA I,35454138,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"PADRE MANOEL DA NOBREGA KM 66, SN KM 66. SAMARITA. 11348-910 São Vicente - SP.",(13) 34061310,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação de Jovens Adultos,,-23.961559,-46.4703781
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,NAYLA AMOR A VIDA CRECHE COMUNITARIA,35461271,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"DILSON MARONE, 25 RUA. CONJUNTO RESIDENCIAL TANCREDO NEVES. 11350-570 São Vicente - SP.",(13) 11350570,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.9415033,-46.4191731
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,TURMINHA DA DISNEY ESCOLA DE EDUCACAO INFANTIL,35463383,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"EMILIO JUSTO DEPUTADO, 202 RUA. CONJUNTO RESIDENCIAL HUMAITA. 11349-030 São Vicente - SP.",(13) 34060833,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO EDUCACIONAL SENINHA,35468666,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"CINCO, 350 RUA. JARDIM IRMA DOLORES. 11347-460 São Vicente - SP.",(13) 997917481,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-23.98038531,-46.46006974
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE EDUCACIONAL MARIA ELIZABETH RAMOS DA SILVA,35469701,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"UM, 135 RUA. SAMARITA. 11345-010 São Vicente - SP.",(13) 35760359,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.9880561,-46.4687696
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOSEFA MARIA DE SOUZA CRECHE MUNICIPAL,35478337,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"QUARENTA E CINCO, 710 PRACA. CONJUNTO RESIDENCIAL HUMAITA. 11349-210 São Vicente - SP.",(13) 35640264,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.9518979,-46.4533393
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EVOLUCOES UNIDADE II COLEGIO,35482080,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"ESMERALDO SOARES TARQUINIO DE CAMPOS FILHO DOUTOR, 1074 AVENIDA. PARQUE DAS BANDEIRAS. 11346-000 São Vicente - SP.",(13) 35666167,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-23.9885984,-46.479938
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ALDEIA DE PARANAPUA,35495670,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"PRAIA DE PARANAPUA, SN AVENIDA. ALDEIA PARANAPUA. 11325-010 São Vicente - SP.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,NUCLEO DE RECREACAO INFANTIL NOVO PLANETA DA CRIANCA DE SAO VICENTE,35496728,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"JOAO ARMENIO CAICHJIAN, 68 RUA. ESPLANADA DOS BARREIROS. 11340-390 São Vicente - SP.",(13) 34671993,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-23.96045,-46.40365
