NOME,CO_CEP,NO_LOGRADOURO,NU_ENDERECO,NO_BAIRRO,NU_TELEFONE,NU_LATITUDE,NU_LONGITUDE,DS_TURNO_ATENDIMENTO,ST_CENTRO_CIRURGICO,ST_CENTRO_OBSTETRICO,ST_CENTRO_NEONATAL,ST_ATEND_HOSPITALAR,ST_SERVICO_APOIO,ST_ATEND_AMBULATORIAL,CO_AMBULATORIAL_SUS
LABORATORIO DR SERGIO TAVOLARO PEREIRA SAO VICENTE,11310050,RUA JOAO RAMALHO,825,CENTRO,(13)34688696,-239649502627.0,-463855295034.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",0.0,0.0,0.0,0.0,1.0,0.0,NAO
SAO PEDRO ANALISES CLINICAS SAO VICENTE,11310420,RUA IPIRANGA,4,CENTRO,(13)34673124,-18.9174223,-48.2704503,ATENDIMENTO SOMENTE A TARDE,,,,,1.0,0.0,NAO
INSTITUTO OFTALMOLOGICO ACCIOLY DE GUSMAO SAO VICENTE,11320060,RUA AMADOR BUENO DA RIBEIRA,68,CENTRO,13 35695555,-23966794.0,-46377159.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLINICA PADRE ANCHIETA SAO VICENTE,11320000,AV PRESIDENTE WILSON,1136,CENTRO,(13)34682829,-23965742.0,-46379113.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,1.0,0.0,0.0,1.0,1.0,1.0,NAO
CLINICA MEDICA DR JOSE MARTINS FONTES SAO VICENTE,11310420,RUA IPIRANGA,S/N,CENTRO,(13)34684848,-18.9174223,-48.2704503,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",0.0,0.0,0.0,0.0,1.0,0.0,NAO
UNIDADE MEDICA SAO VICENTE SAO VICENTE,11310420,RUA IPIRANGA,28,CENTRO,(13)34682861,-18.9174223,-48.2704503,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLINICA SAO VICENTE RAMALHO DIAGNOSES SAO VICENTE,11310421,RUA IPIRANGA,31,CENTRO,(13)34673526,-18.9174223,-48.2704503,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
HOSPITAL SAO JOSE SAO VICENTE,11310061,RUA FREI GASPAR,790,CENTRO,1330489488,-23965168.0,-46386657.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",1.0,1.0,1.0,1.0,1.0,1.0,NAO
SAE CTA SERVICO DE ATENDIMENTO ESPECIALIZADO SAO VICENTE,11320010,AV QUINTINO BOCAIUVA,1261,CENTRO,(13)35693500,-2396935.0,-46383804.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
MAXILABOR SAO VICENTE,11310070,R JACOB EMERICK,365,CENTRO,1334679303,-239682703.0,-463837073.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
EDUARDO OREFICE SAO VICENTE,11320001,AV PRESIDENTE WILSON,1473,CENTRO,1334694909,-239645689.0,-463833532.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
FARMACIA DE MANIPULACAO LEVEN SAO VICENTE,11310071,R JACOB EMERICK,393,CENTRO,1333299800,-239682703.0,-463837073.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
LASER PERUSSI SAO VICENTE,11310061,RUA FREI GASPAR,637,CENTRO,1334668609,-239551384.0,-464069904.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ORTHO DENTS SAO VICENTE,11310040,RUA PADRE ANCHIETA,306,CENTRO,13996868038,-239658382.0,-46383568.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",0.0,0.0,0.0,0.0,1.0,0.0,NAO
LABORATORIO PAULISTA SAO VICENTE,11310421,RUA IPIRANGA,17,CENTRO,1333564011,-239651071.0,-463874308.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,0.0,0.0,SIM
FALCONERES DE ALMEIDA OFTALMOLOGIA E MEDICINA SV,11310400,RUA QUINZE DE NOVEMBRO,576,CENTRO,1338770177,-239631703.0,-463852566.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
INSTITUTO SEGUMED UNIDADE SAO VICENTE,11310400,FREI GASPAR,790,CENTRO,1334666323,-239650220449.0,-463864726161.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",0.0,0.0,0.0,0.0,1.0,0.0,SIM
OMEGA3 LABORATORIO DE ANALISES CLINICAS SAO VICENTE,11310060,RUA FREI GASPAR,299,CENTRO,1335795694,-239681374648.0,-463818353.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CARLOS VILAR SAO VICENTE,11320001,AV PRESIDENTE WILSON,1473,CENTRO,34672310,-239653768547.0,-463820296526.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
VIVIANE AGUIAR YUMOTO FRIAS SAO VICENTE,11310500,BENJAMIN CONSTANT,74,CENTRO,13 97217474,-239635386461.0,-46384557061.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLINICA MEDICA LIMA DIAS SAO VICENTE,11320915,PRESIDENTE WILSON,1473,CENTRO,13 34693985,-239653204822.0,-463820162416.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ACADEMIA DE MEDICINA FISICA E REABILITACAO DE SAO VICENTE,11310420,SAO VICENTE,62,CENTRO,,-20.1296777,-44.8931768,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",0.0,0.0,0.0,0.0,0.0,0.0,NAO
ANTONIO E M CURADO SAO VICENTE,11310061,R FREI GASPAR,86,CENTRO,,-23.9359122,-46.3305821,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLINICA MEDICA BOA VISTA SAO VICENTE,11310330,RUA TREZE DE MAIO,336,CENTRO,(13)34686421,-239664847.0,-463901835.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLINICA RENASCER SAO VICENTE,11310200,AV CAPITAO MOR AGUIAR,445,CENTRO,(13)34676133,-239672683371.0,-46391927261.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
FOCUS CLINICA OFTAMOLOGICA SAO VICENTE,11310040,RUA XV DE NOVEMBRO,576,CENTRO,(13)34695056,-23965002.0,-46385567.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
LABORATORIO ANALISES MED DR JOSE RODRIGUES SAO VICENTE,11310421,RUA IPIRANGA,321,CENTRO,(13)34683057,-18.9174223,-48.2704503,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
